date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
01/01/2025,"AlArbia'a, 01 Muharram, 2025",6:05 am,6:20 am,7:34 am,11:58 am,1:30 pm,2:04 pm,2:09 pm,4:22 pm,4:25 pm,5:51 pm,7:00 pm,12:00 pm,1:00 pm
01/02/2025,"AlKhamis, 02 Muharram, 2025",6:05 am,6:20 am,7:34 am,11:59 am,1:30 pm,2:05 pm,2:08 pm,4:23 pm,4:26 pm,5:52 pm,7:00 pm,12:00 pm,1:00 pm
01/03/2025,"AlJumaa, 03 Muharram, 2025",6:05 am,6:20 am,7:34 am,11:59 am,1:30 pm,2:06 pm,2:09 pm,4:24 pm,4:27 pm,5:53 pm,7:00 pm,12:00 pm,1:00 pm
01/04/2025,"AsSabt, 04 Muharram, 2025",6:05 am,6:20 am,7:34 am,12:00 pm,1:30 pm,2:07 pm,2:10 pm,4:25 pm,4:28 pm,5:54 pm,7:00 pm,12:00 pm,1:00 pm
01/05/2025,"AlAhad, 05 Muharram, 2025",6:05 am,6:20 am,7:34 am,12:00 pm,1:30 pm,2:08 pm,2:11 pm,4:26 pm,4:29 pm,5:55 pm,7:00 pm,12:00 pm,1:00 pm
01/06/2025,"AlEthnien, 06 Muharram, 2025",6:05 am,6:20 am,7:34 am,12:01 pm,1:30 pm,2:09 pm,2:12 pm,4:27 pm,4:30 pm,5:56 pm,7:00 pm,12:00 pm,1:00 pm
01/07/2025,"AthThulatha, 07 Muharram, 2025",6:05 am,6:20 am,7:33 am,12:01 pm,1:30 pm,2:10 pm,2:13 pm,4:28 pm,4:31 pm,5:57 pm,7:00 pm,12:00 pm,1:00 pm
01/08/2025,"AlArbia'a, 08 Muharram, 2025",6:05 am,6:20 am,7:33 am,12:01 pm,1:30 pm,2:11 pm,2:14 pm,4:29 pm,4:32 pm,5:58 pm,7:00 pm,12:00 pm,1:00 pm
01/09/2025,"AlKhamis, 09 Muharram, 2025",6:05 am,6:20 am,7:33 am,12:02 pm,1:30 pm,2:12 pm,2:16 pm,4:30 pm,4:33 pm,5:59 pm,7:00 pm,12:00 pm,1:00 pm
01/10/2025,"AlJumaa, 10 Muharram, 2025",6:05 am,6:20 am,7:33 am,12:02 pm,1:30 pm,2:13 pm,2:17 pm,4:31 pm,4:34 pm,6:00 pm,7:00 pm,12:00 pm,1:00 pm
01/11/2025,"AsSabt, 11 Muharram, 2025",6:04 am,6:20 am,7:32 am,12:03 pm,1:30 pm,2:14 pm,2:17 pm,4:32 pm,4:35 pm,6:01 pm,7:00 pm,12:00 pm,1:00 pm
01/12/2025,"AlAhad, 12 Muharram, 2025",6:04 am,6:20 am,7:32 am,12:03 pm,1:30 pm,2:15 pm,2:19 pm,4:34 pm,4:37 pm,6:02 pm,7:00 pm,12:00 pm,1:00 pm
01/13/2025,"AlEthnien, 13 Muharram, 2025",6:04 am,6:20 am,7:31 am,12:03 pm,1:30 pm,2:16 pm,2:20 pm,4:35 pm,4:38 pm,6:03 pm,7:00 pm,12:00 pm,1:00 pm
01/14/2025,"AthThulatha, 14 Muharram, 2025",6:03 am,6:15 am,7:31 am,12:04 pm,1:30 pm,2:17 pm,2:21 pm,4:36 pm,4:39 pm,6:04 pm,7:00 pm,12:00 pm,1:00 pm
01/15/2025,"AlArbia'a, 15 Muharram, 2025",6:03 am,6:15 am,7:30 am,12:04 pm,1:30 pm,2:18 pm,2:22 pm,4:37 pm,4:40 pm,6:05 pm,7:00 pm,12:00 pm,1:00 pm
01/16/2025,"AlKhamis, 16 Muharram, 2025",6:03 am,6:15 am,7:30 am,12:04 pm,1:30 pm,2:19 pm,2:23 pm,4:39 pm,4:42 pm,6:06 pm,7:00 pm,12:00 pm,1:00 pm
01/17/2025,"AlJumaa, 17 Muharram, 2025",6:02 am,6:15 am,7:29 am,12:05 pm,1:30 pm,2:20 pm,2:24 pm,4:40 pm,4:43 pm,6:07 pm,7:00 pm,12:00 pm,1:00 pm
01/18/2025,"AsSabt, 18 Muharram, 2025",6:02 am,6:15 am,7:28 am,12:05 pm,1:30 pm,2:21 pm,2:25 pm,4:41 pm,4:44 pm,6:09 pm,7:00 pm,12:00 pm,1:00 pm
01/19/2025,"AlAhad, 19 Muharram, 2025",6:01 am,6:15 am,7:28 am,12:05 pm,1:30 pm,2:23 pm,2:26 pm,4:43 pm,4:46 pm,6:10 pm,7:00 pm,12:00 pm,1:00 pm
01/20/2025,"AlEthnien, 20 Muharram, 2025",6:01 am,6:15 am,7:27 am,12:06 pm,1:30 pm,2:24 pm,2:28 pm,4:44 pm,4:47 pm,6:11 pm,7:00 pm,12:00 pm,1:00 pm
01/21/2025,"AthThulatha, 21 Muharram, 2025",6:00 am,6:15 am,7:26 am,12:06 pm,1:30 pm,2:25 pm,2:29 pm,4:45 pm,4:48 pm,6:12 pm,7:00 pm,12:00 pm,1:00 pm
01/22/2025,"AlArbia'a, 22 Muharram, 2025",5:59 am,6:15 am,7:25 am,12:06 pm,1:30 pm,2:26 pm,2:30 pm,4:47 pm,4:50 pm,6:13 pm,7:00 pm,12:00 pm,1:00 pm
01/23/2025,"AlKhamis, 23 Muharram, 2025",5:59 am,6:15 am,7:25 am,12:07 pm,1:30 pm,2:27 pm,2:31 pm,4:48 pm,4:51 pm,6:14 pm,7:00 pm,12:00 pm,1:00 pm
01/24/2025,"AlJumaa, 24 Muharram, 2025",5:58 am,6:15 am,7:24 am,12:07 pm,1:30 pm,2:29 pm,2:32 pm,4:49 pm,4:52 pm,6:16 pm,7:00 pm,12:00 pm,1:00 pm
01/25/2025,"AsSabt, 25 Muharram, 2025",5:57 am,6:15 am,7:23 am,12:07 pm,1:30 pm,2:30 pm,2:34 pm,4:51 pm,4:54 pm,6:17 pm,7:00 pm,12:00 pm,1:00 pm
01/26/2025,"AlAhad, 26 Muharram, 2025",5:56 am,6:15 am,7:22 am,12:07 pm,1:30 pm,2:31 pm,2:35 pm,4:52 pm,4:55 pm,6:18 pm,7:00 pm,12:00 pm,1:00 pm
01/27/2025,"AlEthnien, 27 Muharram, 2025",5:56 am,6:15 am,7:21 am,12:07 pm,1:30 pm,2:32 pm,2:36 pm,4:54 pm,4:57 pm,6:19 pm,7:00 pm,12:00 pm,1:00 pm
01/28/2025,"AthThulatha, 28 Muharram, 2025",5:55 am,6:15 am,7:20 am,12:08 pm,1:15 pm,2:33 pm,3:30 pm,4:55 pm,4:58 pm,6:21 pm,7:00 pm,12:00 pm,1:00 pm
01/29/2025,"AlArbia'a, 29 Muharram, 2025",5:54 am,6:15 am,7:19 am,12:08 pm,1:15 pm,2:35 pm,3:30 pm,4:57 pm,5:00 pm,6:22 pm,7:00 pm,12:00 pm,1:00 pm
01/30/2025,"AlKhamis, 30 Muharram, 2025",5:53 am,6:15 am,7:18 am,12:08 pm,1:15 pm,2:36 pm,3:30 pm,4:58 pm,5:01 pm,6:23 pm,7:00 pm,12:00 pm,1:00 pm
01/31/2025,"AlJumaa, 31 Muharram, 2025",5:52 am,6:15 am,7:16 am,12:08 pm,1:15 pm,2:37 pm,3:30 pm,4:59 pm,5:02 pm,6:24 pm,7:00 pm,12:00 pm,1:00 pm
02/01/2025,"AsSabt, 01 Safar, 2025",5:51 am,6:15 am,7:15 am,12:08 pm,1:15 pm,2:38 pm,3:30 pm,5:01 pm,5:04 pm,6:26 pm,7:00 pm,12:00 pm,1:00 pm
02/02/2025,"AlAhad, 02 Safar, 2025",5:50 am,6:15 am,7:14 am,12:08 pm,1:15 pm,2:39 pm,3:30 pm,5:02 pm,5:05 pm,6:27 pm,7:00 pm,12:00 pm,1:00 pm
02/03/2025,"AlEthnien, 03 Safar, 2025",5:49 am,6:15 am,7:13 am,12:09 pm,1:15 pm,2:41 pm,3:30 pm,5:04 pm,5:07 pm,6:28 pm,7:00 pm,12:00 pm,1:00 pm
02/04/2025,"AthThulatha, 04 Safar, 2025",5:48 am,6:00 am,7:12 am,12:09 pm,1:15 pm,2:42 pm,3:45 pm,5:05 pm,5:08 pm,6:30 pm,7:00 pm,12:00 pm,1:00 pm
02/05/2025,"AlArbia'a, 05 Safar, 2025",5:47 am,6:00 am,7:10 am,12:09 pm,1:15 pm,2:43 pm,4:00 pm,5:07 pm,5:10 pm,6:31 pm,7:00 pm,12:00 pm,1:00 pm
02/06/2025,"AlKhamis, 06 Safar, 2025",5:45 am,6:00 am,7:09 am,12:09 pm,1:15 pm,2:44 pm,4:00 pm,5:08 pm,5:11 pm,6:32 pm,7:00 pm,12:00 pm,1:00 pm
02/07/2025,"AlJumaa, 07 Safar, 2025",5:44 am,6:00 am,7:08 am,12:09 pm,1:15 pm,2:45 pm,4:00 pm,5:10 pm,5:13 pm,6:33 pm,7:00 pm,12:00 pm,1:00 pm
02/08/2025,"AsSabt, 08 Safar, 2025",5:43 am,6:00 am,7:06 am,12:09 pm,1:15 pm,2:46 pm,4:00 pm,5:11 pm,5:14 pm,6:35 pm,7:00 pm,12:00 pm,1:00 pm
02/09/2025,"AlAhad, 09 Safar, 2025",5:42 am,6:00 am,7:05 am,12:09 pm,1:15 pm,2:48 pm,4:00 pm,5:13 pm,5:16 pm,6:36 pm,7:00 pm,12:00 pm,1:00 pm
02/10/2025,"AlEthnien, 10 Safar, 2025",5:41 am,6:00 am,7:04 am,12:09 pm,1:15 pm,2:49 pm,4:00 pm,5:14 pm,5:17 pm,6:37 pm,7:00 pm,12:00 pm,1:00 pm
02/11/2025,"AthThulatha, 11 Safar, 2025",5:39 am,6:00 am,7:02 am,12:09 pm,1:15 pm,2:50 pm,4:00 pm,5:16 pm,5:18 pm,6:39 pm,7:00 pm,12:00 pm,1:00 pm
02/12/2025,"AlArbia'a, 12 Safar, 2025",5:38 am,6:00 am,7:01 am,12:09 pm,1:15 pm,2:51 pm,4:00 pm,5:17 pm,5:20 pm,6:40 pm,7:00 pm,12:00 pm,1:00 pm
02/13/2025,"AlKhamis, 13 Safar, 2025",5:37 am,6:00 am,6:59 am,12:09 pm,1:15 pm,2:52 pm,4:00 pm,5:18 pm,5:21 pm,6:41 pm,7:00 pm,12:00 pm,1:00 pm
02/14/2025,"AlJumaa, 14 Safar, 2025",5:35 am,6:00 am,6:58 am,12:09 pm,1:15 pm,2:53 pm,4:00 pm,5:20 pm,5:23 pm,6:43 pm,7:00 pm,12:00 pm,1:00 pm
02/15/2025,"AsSabt, 15 Safar, 2025",5:34 am,6:00 am,6:56 am,12:09 pm,1:15 pm,2:55 pm,4:00 pm,5:21 pm,5:24 pm,6:44 pm,7:00 pm,12:00 pm,1:00 pm
02/16/2025,"AlAhad, 16 Safar, 2025",5:32 am,6:00 am,6:55 am,12:09 pm,1:15 pm,2:56 pm,4:00 pm,5:23 pm,5:26 pm,6:45 pm,7:00 pm,12:00 pm,1:00 pm
02/17/2025,"AlEthnien, 17 Safar, 2025",5:31 am,6:00 am,6:53 am,12:09 pm,1:15 pm,2:57 pm,4:00 pm,5:24 pm,5:27 pm,6:47 pm,7:00 pm,12:00 pm,1:00 pm
02/18/2025,"AthThulatha, 18 Safar, 2025",5:29 am,5:45 am,6:51 am,12:09 pm,1:15 pm,2:58 pm,4:00 pm,5:26 pm,5:29 pm,6:48 pm,7:00 pm,12:00 pm,1:00 pm
02/19/2025,"AlArbia'a, 19 Safar, 2025",5:28 am,5:45 am,6:50 am,12:09 pm,1:15 pm,2:59 pm,4:00 pm,5:27 pm,5:30 pm,6:49 pm,7:00 pm,12:00 pm,1:00 pm
02/20/2025,"AlKhamis, 20 Safar, 2025",5:26 am,5:45 am,6:48 am,12:09 pm,1:15 pm,3:00 pm,4:00 pm,5:29 pm,5:31 pm,6:51 pm,7:00 pm,12:00 pm,1:00 pm
02/21/2025,"AlJumaa, 21 Safar, 2025",5:25 am,5:45 am,6:47 am,12:08 pm,1:15 pm,3:01 pm,4:00 pm,5:30 pm,5:33 pm,6:52 pm,7:00 pm,12:00 pm,1:00 pm
02/22/2025,"AsSabt, 22 Safar, 2025",5:23 am,5:45 am,6:45 am,12:08 pm,1:15 pm,3:02 pm,4:00 pm,5:31 pm,5:34 pm,6:53 pm,7:00 pm,12:00 pm,1:00 pm
02/23/2025,"AlAhad, 23 Safar, 2025",5:22 am,5:45 am,6:43 am,12:08 pm,1:15 pm,3:03 pm,4:00 pm,5:33 pm,5:36 pm,6:55 pm,7:00 pm,12:00 pm,1:00 pm
02/24/2025,"AlEthnien, 24 Safar, 2025",5:20 am,5:45 am,6:42 am,12:08 pm,1:15 pm,3:04 pm,4:00 pm,5:34 pm,5:37 pm,6:56 pm,7:00 pm,12:00 pm,1:00 pm
02/25/2025,"AthThulatha, 25 Safar, 2025",5:18 am,5:45 am,6:40 am,12:08 pm,1:15 pm,3:05 pm,4:15 pm,5:36 pm,5:39 pm,6:57 pm,7:15 pm,12:00 pm,1:00 pm
02/26/2025,"AlArbia'a, 26 Safar, 2025",5:17 am,5:45 am,6:38 am,12:08 pm,1:15 pm,3:06 pm,4:15 pm,5:37 pm,5:40 pm,6:59 pm,7:15 pm,12:00 pm,1:00 pm
02/27/2025,"AlKhamis, 27 Safar, 2025",5:15 am,5:45 am,6:36 am,12:08 pm,1:15 pm,3:07 pm,4:15 pm,5:38 pm,5:41 pm,7:00 pm,7:15 pm,12:00 pm,1:00 pm
02/28/2025,"AlJumaa, 28 Safar, 2025",5:13 am,5:45 am,6:35 am,12:07 pm,1:15 pm,3:08 pm,4:15 pm,5:40 pm,5:43 pm,7:01 pm,7:15 pm,12:00 pm,1:00 pm
03/01/2025,"AlAhad, 01 Rabi' Awwal, 2025",5:10 am,5:45 am,6:31 am,12:07 pm,1:15 pm,3:10 pm,4:15 pm,5:43 pm,5:46 pm,7:04 pm,7:15 pm,12:00 pm,1:00 pm
03/02/2025,"AlEthnien, 02 Rabi' Awwal, 2025",5:08 am,5:45 am,6:29 am,12:07 pm,1:15 pm,3:11 pm,4:15 pm,5:44 pm,5:47 pm,7:05 pm,7:15 pm,12:00 pm,1:00 pm
03/03/2025,"AthThulatha, 03 Rabi' Awwal, 2025",5:06 am,5:30 am,6:28 am,12:07 pm,1:15 pm,3:12 pm,4:30 pm,5:45 pm,5:48 pm,7:07 pm,7:15 pm,12:00 pm,1:00 pm
03/04/2025,"AlArbia'a, 04 Rabi' Awwal, 2025",5:04 am,5:30 am,6:26 am,12:06 pm,1:15 pm,3:13 pm,4:30 pm,5:47 pm,5:50 pm,7:08 pm,7:15 pm,12:00 pm,1:00 pm
03/05/2025,"AlKhamis, 05 Rabi' Awwal, 2025",5:03 am,5:30 am,6:24 am,12:06 pm,1:15 pm,3:14 pm,4:30 pm,5:48 pm,5:51 pm,7:10 pm,7:15 pm,12:00 pm,1:00 pm
03/06/2025,"AlJumaa, 06 Rabi' Awwal, 2025",5:01 am,5:30 am,6:22 am,12:06 pm,1:15 pm,3:15 pm,4:30 pm,5:49 pm,5:52 pm,7:11 pm,7:15 pm,12:00 pm,1:00 pm
03/07/2025,"AsSabt, 07 Rabi' Awwal, 2025",4:59 am,5:30 am,6:20 am,12:06 pm,1:15 pm,3:16 pm,4:30 pm,5:51 pm,5:54 pm,7:12 pm,7:15 pm,12:00 pm,1:00 pm
03/08/2025,"AlAhad, 08 Rabi' Awwal, 2025",4:57 am,5:30 am,6:18 am,12:05 pm,1:15 pm,3:16 pm,4:30 pm,5:52 pm,6:54 pm,7:14 pm,7:15 pm,12:00 pm,1:00 pm
03/09/2025,"AlEthnien, 09 Rabi' Awwal, 2025",4:55 am,5:30 am,6:17 am,12:05 pm,1:15 pm,3:17 pm,4:30 pm,5:53 pm,6:55 pm,7:15 pm,7:15 pm,12:00 pm,1:00 pm
03/10/2025,"AthThulatha, 10 Rabi' Awwal, 2025",5:55 am,6:30 am,7:17 am,1:05 pm,1:15 pm,4:17 pm,5:30 pm,6:53 pm,6:56 pm,8:15 pm,8:16 pm,12:00 pm,1:00 pm
03/11/2025,"AlArbia'a, 11 Rabi' Awwal, 2025",5:53 am,6:30 am,7:15 am,1:05 pm,1:15 pm,4:18 pm,5:30 pm,6:55 pm,6:58 pm,8:16 pm,8:17 pm,12:00 pm,1:00 pm
03/12/2025,"AlKhamis, 12 Rabi' Awwal, 2025",5:51 am,6:01 am,7:13 am,1:05 pm,1:15 pm,4:19 pm,5:45 pm,6:56 pm,6:59 pm,8:18 pm,8:17 pm,12:00 pm,1:00 pm
03/13/2025,"AlJumaa, 13 Rabi' Awwal, 2025",5:49 am,5:59 am,7:11 am,1:04 pm,1:15 pm,4:20 pm,5:45 pm,6:58 pm,7:01 pm,8:19 pm,8:19 pm,12:00 pm,1:00 pm
03/14/2025,"AsSabt, 14 Rabi' Awwal, 2025",5:48 am,5:58 am,7:09 am,1:04 pm,1:15 pm,4:21 pm,5:45 pm,6:59 pm,7:02 pm,8:21 pm,8:20 pm,12:00 pm,1:00 pm
03/15/2025,"AlAhad, 15 Rabi' Awwal, 2025",5:46 am,5:56 am,7:07 am,1:04 pm,1:15 pm,4:21 pm,5:45 pm,7:00 pm,7:03 pm,8:22 pm,8:22 pm,12:00 pm,1:00 pm
03/16/2025,"AlEthnien, 16 Rabi' Awwal, 2025",5:44 am,5:54 am,7:05 am,1:04 pm,1:15 pm,4:22 pm,5:45 pm,7:01 pm,7:05 pm,8:23 pm,8:23 pm,12:00 pm,1:00 pm
03/17/2025,"AthThulatha, 17 Rabi' Awwal, 2025",5:42 am,5:52 am,7:03 am,1:03 pm,1:15 pm,4:23 pm,6:00 pm,7:03 pm,7:06 pm,8:25 pm,8:24 pm,12:00 pm,1:00 pm
03/18/2025,"AlArbia'a, 18 Rabi' Awwal, 2025",5:40 am,5:50 am,7:02 am,1:03 pm,1:15 pm,4:24 pm,6:00 pm,7:04 pm,7:07 pm,8:26 pm,8:26 pm,12:00 pm,1:00 pm
03/19/2025,"AlKhamis, 19 Rabi' Awwal, 2025",5:38 am,5:48 am,7:00 am,1:03 pm,1:15 pm,4:24 pm,6:00 pm,7:05 pm,7:08 pm,8:28 pm,8:27 pm,12:00 pm,1:00 pm
03/20/2025,"AlJumaa, 20 Rabi' Awwal, 2025",5:36 am,5:46 am,6:58 am,1:02 pm,1:15 pm,4:25 pm,6:00 pm,7:07 pm,7:10 pm,8:29 pm,8:29 pm,12:00 pm,1:00 pm
03/21/2025,"AsSabt, 21 Rabi' Awwal, 2025",5:34 am,5:44 am,6:56 am,1:02 pm,1:15 pm,4:26 pm,6:00 pm,7:08 pm,7:11 pm,8:31 pm,8:30 pm,12:00 pm,1:00 pm
03/22/2025,"AlAhad, 22 Rabi' Awwal, 2025",5:32 am,5:42 am,6:54 am,1:02 pm,1:15 pm,4:27 pm,6:00 pm,7:09 pm,7:12 pm,8:32 pm,8:32 pm,12:00 pm,1:00 pm
03/23/2025,"AlEthnien, 23 Rabi' Awwal, 2025",5:29 am,5:39 am,6:52 am,1:01 pm,1:15 pm,4:27 pm,6:00 pm,7:11 pm,7:14 pm,8:33 pm,8:33 pm,12:00 pm,1:00 pm
03/24/2025,"AthThulatha, 24 Rabi' Awwal, 2025",5:27 am,5:37 am,6:50 am,1:01 pm,1:15 pm,4:28 pm,6:00 pm,7:12 pm,7:15 pm,8:35 pm,8:34 pm,12:00 pm,1:00 pm
03/25/2025,"AlArbia'a, 25 Rabi' Awwal, 2025",5:25 am,5:35 am,6:48 am,1:01 pm,1:15 pm,4:29 pm,6:00 pm,7:13 pm,7:16 pm,8:36 pm,8:36 pm,12:00 pm,1:00 pm
03/26/2025,"AlKhamis, 26 Rabi' Awwal, 2025",5:23 am,5:33 am,6:46 am,1:01 pm,1:15 pm,4:29 pm,6:00 pm,7:15 pm,7:18 pm,8:38 pm,8:37 pm,12:00 pm,1:00 pm
03/27/2025,"AlJumaa, 27 Rabi' Awwal, 2025",5:21 am,5:31 am,6:44 am,1:00 pm,1:15 pm,4:30 pm,6:00 pm,7:16 pm,7:19 pm,8:39 pm,8:39 pm,12:00 pm,1:00 pm
03/28/2025,"AsSabt, 28 Rabi' Awwal, 2025",5:19 am,5:29 am,6:43 am,1:00 pm,1:15 pm,4:31 pm,6:00 pm,7:17 pm,7:20 pm,8:41 pm,8:40 pm,12:00 pm,1:00 pm
03/29/2025,"AlAhad, 29 Rabi' Awwal, 2025",5:17 am,5:27 am,6:41 am,1:00 pm,1:15 pm,4:31 pm,6:00 pm,7:19 pm,7:22 pm,8:42 pm,8:42 pm,12:00 pm,1:00 pm
03/30/2025,"AlEthnien, 30 Rabi' Awwal, 2025",5:15 am,5:25 am,6:39 am,12:59 pm,1:15 pm,4:32 pm,6:00 pm,7:20 pm,7:23 pm,8:44 pm,8:43 pm,12:00 pm,1:00 pm
03/31/2025,"AthThulatha, 31 Rabi' Awwal, 2025",5:13 am,5:23 am,6:37 am,12:59 pm,1:15 pm,4:33 pm,6:15 pm,7:21 pm,7:24 pm,8:45 pm,8:45 pm,12:00 pm,1:00 pm
04/01/2025,"AlArbia'a, 01 Rabi' Thani, 2025",5:11 am,5:21 am,6:35 am,12:59 pm,1:15 pm,4:33 pm,6:15 pm,7:22 pm,7:25 pm,8:47 pm,8:46 pm,12:00 pm,1:00 pm
